trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
47,False,"{'a': 0.1, 'e': 0.08974483193085074}",20,12,6.466345738431932,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
48,False,"{'a': 0.1, 'e': 0.0852575903343082}",20,3,21.308683888964257,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
49,False,"{'a': 0.1, 'e': 0.0809947108175928}",25,0,32.80431641964251,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
50,False,"{'a': 0.1, 'e': 0.07694497527671315}",20,8,21.73258836406585,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
51,False,"{'a': 0.1, 'e': 0.07309772651287749}",35,9,-12.585268642502186,"{0: 23, 1: 1, 2: 0, 3: 2, 4: 0}",1
52,False,"{'a': 0.1, 'e': 0.06944284018723361}",25,12,7.529103547606283,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
53,False,"{'a': 0.1, 'e': 0.06597069817787193}",20,0,23.58194564779944,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
54,False,"{'a': 0.1, 'e': 0.06267216326897833}",25,17,-5.866698417034064,"{0: 7, 1: 0, 2: 0, 3: 1, 4: 0}",1
55,False,"{'a': 0.1, 'e': 0.05953855510552941}",30,8,30.442173387837972,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
56,False,"{'a': 0.1, 'e': 0.056561627350252934}",25,0,5.76285674264682,"{0: 23, 1: 0, 2: 2, 3: 0, 4: 0}",0
57,False,"{'a': 0.1, 'e': 0.053733545982740286}",35,21,24.189885794579308,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
58,False,"{'a': 0.1, 'e': 0.051046868683603266}",35,21,24.22226943202442,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
59,False,"{'a': 0.1, 'e': 0.048494525249423104}",20,3,21.929643639569473,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
60,False,"{'a': 0.1, 'e': 0.046069798986951946}",20,9,19.93533979375334,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
61,False,"{'a': 0.1, 'e': 0.043766309037604346}",35,23,19.740044451357463,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
62,False,"{'a': 0.1, 'e': 0.04157799358572413}",20,8,19.895369741049535,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
63,False,"{'a': 0.1, 'e': 0.03949909390643792}",30,18,19.83782828845878,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
64,False,"{'a': 0.1, 'e': 0.03752413921111602}",30,11,24.905199917693118,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
65,False,"{'a': 0.1, 'e': 0.03564793225056022}",20,0,24.31381331887941,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
66,False,"{'a': 0.1, 'e': 0.033865535638032206}",25,17,13.029304261461101,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
67,False,"{'a': 0.1, 'e': 0.03217225885613059}",25,10,22.087135592130217,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
68,False,"{'a': 0.1, 'e': 0.030563645913324063}",25,20,9.713143850884958,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
69,False,"{'a': 0.1, 'e': 0.02903546361765786}",25,1,15.994718930420536,"{0: 23, 1: 0, 2: 0, 3: 1, 4: 0}",1
70,False,"{'a': 0.1, 'e': 0.027583690436774964}",20,13,9.926853342897077,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
71,False,"{'a': 0.1, 'e': 0.026204505914936217}",30,0,32.966307703920116,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
72,False,"{'a': 0.1, 'e': 0.024894280619189402}",25,0,27.749966593382787,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
73,False,"{'a': 0.1, 'e': 0.023649566588229934}",30,21,14.743514985814418,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
